Key,File,Type,english,schinese
gunKF9mm,items,gun,9mm Pistol,9毫米手枪
gunKF9mmDesc,items,gun,"Fire mode is semi-auto only.\n\nThis is the standard 9mm pistol. Simple and cheap (very cheap, frankly, to you), it is the basic sidearm for all Horzine operatives.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.","开火模式只有半自动。\n\n这是标准的9毫米手枪。简单又便宜（老实说，非常便宜），是所有霍因行动的基本装备。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。"
gunKFDual9mm,items,gun,Dual 9mm Pistols,双持9毫米手枪
gunKFDual9mmDesc,items,gun,"Fire mode is semi-auto only. Activating weapon switches aiming styles when in Ironsights.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.","开火模式只有半自动。激活武器可以切换瞄准模式。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。"
gunKFHRGSW500,items,gun,HRG Buckshot,HRG大号铅弹
gunKFHRGSW500Desc,items,gun,"Fire mode is single shot only.\n\nTaking spray and pray to a whole new level.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.","只有单发射击模式。\n\n让扫射效果达到全新境界。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。"
gunKFDualHRGSW500,items,gun,Dual HRG Buckshots,双持HRG大号铅弹
gunKFDualHRGSW500Desc,items,gun,"Fire mode is single shot only. Activating weapon switches aiming styles when using iron sights.\n\nTaking spray and pray to a whole new level and then some.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.","只有单发射击模式。激活武器可以切换瞄准模式。\n\n让扫射效果达到全新境界。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。"
gunKFSW500,items,gun,.500 Magnum Revolver,.500 马格南左轮手枪
gunKFSW500Desc,items,gun,"Fire mode is single shot only.\n\nTrue hand artillery in the form of a long-barrelled .50-caliber 'Bone Collector' revolver, firing full-load magnum rounds. For the serious Gunslinger.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.",射击模式只有单发射击。\n\n长管.50口径‘人骨拼图’左轮手枪，发射全威力马格南子弹，堪称真正的手炮。适合真正的枪手。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。
gunKFDualSW500,items,gun,Dual .500 Magnums,两把.500 马格南
gunKFDualSW500Desc,items,gun,"Fire mode is semi-auto only. Activating weapon switches aiming styles when in Ironsights.\n\nA pair of .500 Magnum 'Bone Collector' revolvers. With a big 'thud'.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.",射击模式只有半自动。激活武器可以切换瞄准模式。\n\n一对.500 马格南‘人骨拼图’左轮手枪。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。
